Date,Investment_AAPL,Investment_GOOGL,Investment_MSFT,Investment_META,Investment_AMZN,CASH
2023-10-26,166.89,122.28,327.89,288.35,119.57,1.0
2023-10-27,168.22,122.17,329.81,296.73,127.74,1.0
2023-10-30,170.29,124.46,337.31,302.66,132.71,1.0
2023-10-31,170.77,124.08,338.11,301.27,133.09,1.0
2023-11-01,173.97,126.45,346.07,311.85,137.0,1.0
2023-11-02,177.57,127.49,348.32,310.87,138.07,1.0
2023-11-03,176.65,129.1,352.8,314.6,138.6,1.0
2023-11-06,179.23,130.25,356.53,315.8,139.74,1.0
2023-11-07,181.82,130.97,360.53,318.82,142.71,1.0
2023-11-08,182.89,131.84,363.2,319.78,142.08,1.0
2023-11-09,182.41,130.24,360.69,320.55,140.6,1.0
2023-11-10,186.4,132.59,369.67,328.77,143.56,1.0
2023-11-13,184.8,132.09,366.68,329.19,142.59,1.0
2023-11-14,187.44,133.62,370.27,336.31,145.8,1.0
2023-11-15,188.01,134.62,369.67,332.71,143.2,1.0
2023-11-16,189.71,136.93,376.17,334.19,142.83,1.0
2023-11-17,189.69,135.31,369.85,335.04,145.18,1.0
2023-11-20,191.45,136.25,377.44,339.97,146.13,1.0
2023-11-21,190.64,136.97,373.07,336.98,143.9,1.0
2023-11-22,191.31,138.49,377.85,341.49,146.71,1.0
2023-11-24,189.97,136.69,377.43,338.23,146.74,1.0
2023-11-27,189.79,136.41,378.61,334.7,147.73,1.0
2023-11-28,190.4,137.2,382.7,338.99,147.03,1.0
2023-11-29,189.37,134.99,378.85,332.2,146.32,1.0
2023-11-30,189.95,132.53,378.91,327.15,146.09,1.0
2023-12-01,191.24,131.86,374.51,324.82,147.03,1.0
2023-12-04,189.43,129.27,369.14,320.02,144.84,1.0
2023-12-05,193.42,130.99,372.52,318.29,146.88,1.0
2023-12-06,192.32,130.02,368.8,317.45,144.52,1.0
2023-12-07,194.27,136.93,370.95,326.59,146.88,1.0
2023-12-08,195.71,134.99,374.23,332.75,147.42,1.0
2023-12-11,193.18,133.29,371.3,325.28,145.89,1.0
2023-12-12,194.71,132.52,374.38,334.22,147.48,1.0
2023-12-13,197.96,132.57,374.37,334.74,148.84,1.0
2023-12-14,198.11,131.94,365.93,333.17,147.42,1.0
2023-12-15,197.57,132.6,370.73,334.92,149.97,1.0
2023-12-18,195.89,135.8,372.65,344.62,154.07,1.0
2023-12-19,196.94,136.65,373.26,350.36,153.79,1.0
2023-12-20,194.83,138.34,370.62,349.28,152.12,1.0
2023-12-21,194.68,140.42,373.54,354.09,153.84,1.0
2023-12-22,193.6,141.49,374.58,353.39,153.42,1.0
2023-12-26,193.05,141.52,374.66,354.83,153.41,1.0
2023-12-27,193.15,140.37,374.07,357.83,153.34,1.0
2023-12-28,193.58,140.23,375.28,358.32,153.38,1.0
2023-12-29,192.53,139.69,376.04,353.96,151.94,1.0
2024-01-02,185.64,138.17,370.87,346.29,149.93,1.0
2024-01-03,184.25,138.92,370.6,344.47,148.47,1.0
2024-01-04,181.91,136.39,367.94,347.12,144.57,1.0
2024-01-05,181.18,135.73,367.75,351.95,145.24,1.0
2024-01-08,185.56,138.84,374.69,358.66,149.1,1.0
2024-01-09,185.14,140.95,375.79,357.43,151.37,1.0
2024-01-10,186.19,142.28,382.77,370.47,153.73,1.0
2024-01-11,185.59,142.08,384.63,369.67,155.18,1.0
2024-01-12,185.92,142.65,388.47,374.49,154.62,1.0
2024-01-16,183.63,142.49,390.27,367.46,153.16,1.0
2024-01-17,182.68,141.47,389.47,368.37,151.71,1.0
2024-01-18,188.63,143.48,393.87,376.13,153.5,1.0
2024-01-19,191.56,146.38,398.67,383.45,155.34,1.0
2024-01-22,193.89,145.99,396.51,381.78,154.78,1.0
2024-01-23,195.18,147.04,398.9,385.2,156.02,1.0
2024-01-24,194.5,148.7,402.56,390.7,156.87,1.0
2024-01-25,194.17,151.87,404.87,393.18,157.75,1.0
2024-01-26,192.42,152.185,403.93,394.14,159.12,1.0
2024-01-29,191.73,153.51,409.72,401.02,161.26,1.0
2024-01-30,188.04,151.46,408.59,400.06,159.0,1.0
2024-01-31,184.4,140.1,397.58,390.14,155.2,1.0
2024-02-01,186.86,141.16,403.78,394.78,159.28,1.0
2024-02-02,185.85,142.38,411.22,474.99,171.81,1.0
2024-02-05,187.68,143.68,405.65,459.41,170.31,1.0
2024-02-06,189.3,144.1,405.49,454.72,169.15,1.0
2024-02-07,189.41,145.54,414.05,469.59,170.53,1.0
2024-02-08,188.32,145.91,414.11,470.0,169.84,1.0
2024-02-09,188.85,149.0,420.55,468.11,174.45,1.0
2024-02-12,187.15,147.53,415.26,468.9,172.34,1.0
2024-02-13,185.04,145.14,406.32,460.12,168.64,1.0
2024-02-14,184.15,145.94,409.49,473.28,170.98,1.0
2024-02-15,183.86,142.77,406.56,484.03,169.8,1.0
2024-02-16,182.31,140.52,404.06,473.32,169.51,1.0
2024-02-20,181.56,141.12,402.79,471.75,167.08,1.0
2024-02-21,182.32,142.55,402.18,468.03,168.59,1.0
2024-02-22,184.37,144.09,411.65,486.13,174.58,1.0
2024-02-23,182.52,143.96,410.34,484.03,174.99,1.0
2024-02-26,181.16,137.57,407.54,481.74,174.73,1.0
2024-02-27,182.63,138.88,407.48,487.05,173.54,1.0
2024-02-28,181.42,136.38,407.72,484.02,173.16,1.0
2024-02-29,180.75,138.46,413.64,490.13,176.76,1.0
2024-03-01,179.66,137.14,415.5,502.3,178.22,1.0
2024-03-04,175.1,133.35,414.92,498.19,177.58,1.0
2024-03-05,170.12,132.67,402.65,490.22,174.12,1.0
2024-03-06,169.12,131.4,402.09,496.09,173.51,1.0
2024-03-07,169.0,134.38,409.14,512.19,176.82,1.0
2024-03-08,170.73,135.41,406.22,505.95,175.35,1.0
2024-03-11,172.75,137.67,404.52,483.59,171.96,1.0
2024-03-12,173.23,138.5,415.28,499.75,175.39,1.0
2024-03-13,171.13,139.79,415.1,495.57,176.555,1.0
2024-03-14,173.0,143.1,425.22,491.83,178.75,1.0
2024-03-15,172.62,141.18,416.42,484.1,174.42,1.0
2024-03-18,173.72,147.68,417.32,496.98,174.48,1.0
2024-03-19,176.08,147.03,421.41,496.24,175.9,1.0
2024-03-20,178.67,148.74,425.23,505.52,178.15,1.0
2024-03-21,171.37,147.6,429.37,507.76,178.15,1.0
2024-03-22,172.28,150.77,428.74,509.58,178.87,1.0
2024-03-25,170.85,150.07,422.86,503.02,179.71,1.0
2024-03-26,169.71,150.67,421.65,495.89,178.3,1.0
2024-03-27,173.31,150.87,421.43,493.86,179.83,1.0
2024-03-28,171.48,150.93,420.72,485.58,180.38,1.0
2024-04-01,170.03,155.49,424.57,491.35,180.97,1.0
2024-04-02,168.84,154.56,421.44,497.37,180.69,1.0
2024-04-03,169.65,154.92,420.45,506.74,182.41,1.0
2024-04-04,168.82,150.53,417.88,510.92,180.0,1.0
2024-04-05,169.58,152.5,425.52,527.34,185.07,1.0
2024-04-08,168.45,154.85,424.59,519.25,185.19,1.0
2024-04-09,169.67,156.6,426.28,516.9,185.67,1.0
2024-04-10,167.78,156.14,423.26,519.83,185.95,1.0
2024-04-11,175.04,159.41,427.93,523.16,189.05,1.0
2024-04-12,176.55,157.73,421.9,511.9,186.13,1.0
2024-04-15,172.69,154.86,413.64,500.23,183.62,1.0
2024-04-16,169.38,154.4,414.58,499.76,183.32,1.0
2024-04-17,168.0,155.47,411.84,494.17,181.28,1.0
2024-04-18,167.04,156.01,404.27,501.8,179.22,1.0
2024-04-19,165.0,154.09,399.12,481.07,174.63,1.0
2024-04-22,165.84,156.28,400.96,481.73,177.23,1.0
2024-04-23,166.9,158.26,407.57,496.1,179.54,1.0
2024-04-24,169.02,159.13,409.06,493.5,176.59,1.0
2024-04-25,169.89,156.0,399.04,441.38,173.67,1.0
2024-04-26,169.3,171.95,406.32,443.29,179.62,1.0
2024-04-29,173.5,166.15,402.25,432.62,180.96,1.0
2024-04-30,170.33,162.78,389.33,430.17,175.0,1.0
2024-05-01,169.3,163.86,394.94,439.19,179.0,1.0
2024-05-02,173.03,166.62,397.84,441.68,184.72,1.0
2024-05-03,183.38,167.24,406.66,451.96,186.21,1.0
2024-05-06,181.71,168.1,413.54,465.68,188.7,1.0
2024-05-07,182.4,171.25,409.34,468.24,188.76,1.0
2024-05-08,182.74,169.38,410.54,472.6,188.0,1.0
